,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
1652,66.0,98.0,53.0,90.0,8.74,7.65,8.52,88.0,16.0,9.0,0.0,9.0,3.05,1.34,3.27,1.1,0.05,65.0,15.6445,7.65,34.9,15.3,3.12,44.4,0.36
1653,68.0,77.0,16.0,24.0,2.17,2.08,8.55,96.0,12.0,1.0,2.39,1.0,0.42,0.2,1.46,0.09,0.38,65.0,17.0508,2.08,19.4,9.2,3.52,45.4,0.36
1654,67.0,114.0,54.0,79.0,9.47,8.47,10.73,90.0,16.0,12.0,0.0,7.0,1.5,0.08,6.89,1.01,2.89,61.0,17.8711,8.47,15.8,0.8,3.66,40.2,0.36
1655,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1656,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1657,59.0,167.0,98.0,100.0,10.67,9.53,8.63,89.0,18.0,13.0,9.12,5.0,1.14,0.97,7.41,1.16,1.03,66.0,16.4062,9.53,10.7,9.1,3.68,47.4,0.36
1658,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1659,62.0,138.0,80.0,97.0,9.28,8.34,8.58,90.0,13.0,9.0,0.0,4.0,0.9,0.19,7.25,0.95,0.0,66.0,16.6602,8.34,9.7,2.0,3.62,42.1,0.36
1660,55.0,175.0,97.0,92.0,8.64,7.63,8.27,88.0,18.0,13.0,0.0,1.0,0.31,0.68,6.65,1.02,0.15,66.0,15.5859,7.63,3.6,7.9,2.66,36.2,0.36
1661,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1662,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1663,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1664,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
